[ 2024-01-14 22:26:59,155 ] 30 root - INFO - Pinged your deployment. You successfully connected to MongoDB!
[ 2024-01-14 22:28:46,122 ] 148 modelbit.api.api - INFO - Setting cluster to app.modelbit.com
[ 2024-01-14 22:29:04,276 ] 124 modelbit.api.api - INFO - Making request without auth to https://app.modelbit.com/api/cli/v1/auth/refresh
[ 2024-01-14 22:29:06,727 ] 124 modelbit.api.api - INFO - Making request without auth to https://app.modelbit.com/api/cli/v1/get_token
[ 2024-01-14 22:29:10,421 ] 124 modelbit.api.api - INFO - Making request with auth to https://app.modelbit.com/api/cli/v1/auth/refresh
[ 2024-01-14 22:29:13,901 ] 124 modelbit.api.api - INFO - Making request with auth to https://app.modelbit.com/api/cli/v1/auth/refresh
[ 2024-01-14 22:29:17,259 ] 124 modelbit.api.api - INFO - Making request with auth to https://app.modelbit.com/api/cli/v1/auth/refresh
[ 2024-01-14 22:29:20,636 ] 124 modelbit.api.api - INFO - Making request with auth to https://app.modelbit.com/api/cli/v1/auth/refresh
[ 2024-01-14 22:29:24,040 ] 124 modelbit.api.api - INFO - Making request with auth to https://app.modelbit.com/api/cli/v1/auth/refresh
[ 2024-01-14 22:29:27,392 ] 124 modelbit.api.api - INFO - Making request with auth to https://app.modelbit.com/api/cli/v1/auth/refresh
[ 2024-01-14 22:29:30,730 ] 124 modelbit.api.api - INFO - Making request with auth to https://app.modelbit.com/api/cli/v1/auth/refresh
[ 2024-01-14 22:29:34,102 ] 124 modelbit.api.api - INFO - Making request with auth to https://app.modelbit.com/api/cli/v1/auth/refresh
[ 2024-01-14 22:29:37,446 ] 124 modelbit.api.api - INFO - Making request with auth to https://app.modelbit.com/api/cli/v1/auth/refresh
[ 2024-01-14 22:29:40,787 ] 124 modelbit.api.api - INFO - Making request with auth to https://app.modelbit.com/api/cli/v1/auth/refresh
[ 2024-01-14 22:29:44,218 ] 124 modelbit.api.api - INFO - Making request with auth to https://app.modelbit.com/api/cli/v1/auth/refresh
[ 2024-01-14 22:29:47,588 ] 124 modelbit.api.api - INFO - Making request with auth to https://app.modelbit.com/api/cli/v1/auth/refresh
[ 2024-01-14 22:29:49,030 ] 124 modelbit.api.api - INFO - Making request with auth to https://app.modelbit.com/api/cli/v1/auth/refresh
[ 2024-01-14 22:29:50,977 ] 124 modelbit.api.api - INFO - Making request with auth to https://app.modelbit.com/api/cli/v1/auth/refresh
[ 2024-01-14 22:29:52,379 ] 124 modelbit.api.api - INFO - Making request with auth to https://app.modelbit.com/api/cli/v1/auth/refresh
[ 2024-01-14 22:29:54,342 ] 124 modelbit.api.api - INFO - Making request with auth to https://app.modelbit.com/api/cli/v1/auth/refresh
[ 2024-01-14 22:29:55,788 ] 124 modelbit.api.api - INFO - Making request with auth to https://app.modelbit.com/api/cli/v1/auth/refresh
[ 2024-01-14 22:29:57,690 ] 124 modelbit.api.api - INFO - Making request with auth to https://app.modelbit.com/api/cli/v1/auth/refresh
[ 2024-01-14 22:29:59,281 ] 124 modelbit.api.api - INFO - Making request with auth to https://app.modelbit.com/api/cli/v1/auth/refresh
[ 2024-01-14 22:30:01,021 ] 124 modelbit.api.api - INFO - Making request with auth to https://app.modelbit.com/api/cli/v1/auth/refresh
[ 2024-01-14 22:30:02,643 ] 124 modelbit.api.api - INFO - Making request with auth to https://app.modelbit.com/api/cli/v1/auth/refresh
[ 2024-01-14 22:30:04,367 ] 124 modelbit.api.api - INFO - Making request with auth to https://app.modelbit.com/api/cli/v1/auth/refresh
[ 2024-01-14 22:30:06,000 ] 124 modelbit.api.api - INFO - Making request with auth to https://app.modelbit.com/api/cli/v1/auth/refresh
[ 2024-01-14 22:30:07,774 ] 124 modelbit.api.api - INFO - Making request with auth to https://app.modelbit.com/api/cli/v1/auth/refresh
[ 2024-01-14 22:30:09,410 ] 124 modelbit.api.api - INFO - Making request with auth to https://app.modelbit.com/api/cli/v1/auth/refresh
[ 2024-01-14 22:30:11,149 ] 124 modelbit.api.api - INFO - Making request with auth to https://app.modelbit.com/api/cli/v1/auth/refresh
[ 2024-01-14 22:30:12,757 ] 124 modelbit.api.api - INFO - Making request with auth to https://app.modelbit.com/api/cli/v1/auth/refresh
[ 2024-01-14 22:30:14,626 ] 124 modelbit.api.api - INFO - Making request with auth to https://app.modelbit.com/api/cli/v1/auth/refresh
[ 2024-01-14 22:30:16,168 ] 124 modelbit.api.api - INFO - Making request with auth to https://app.modelbit.com/api/cli/v1/auth/refresh
[ 2024-01-14 22:30:17,978 ] 124 modelbit.api.api - INFO - Making request with auth to https://app.modelbit.com/api/cli/v1/auth/refresh
[ 2024-01-14 22:30:19,500 ] 124 modelbit.api.api - INFO - Making request with auth to https://app.modelbit.com/api/cli/v1/auth/refresh
[ 2024-01-14 22:30:21,397 ] 124 modelbit.api.api - INFO - Making request with auth to https://app.modelbit.com/api/cli/v1/auth/refresh
[ 2024-01-14 22:30:22,933 ] 124 modelbit.api.api - INFO - Making request with auth to https://app.modelbit.com/api/cli/v1/auth/refresh
[ 2024-01-14 22:30:24,865 ] 124 modelbit.api.api - INFO - Making request with auth to https://app.modelbit.com/api/cli/v1/auth/refresh
